epoch,train_loss,val_loss
1,0.4630,0.4197
2,0.3924,0.3843
3,0.3719,0.3576
4,0.3544,0.3523
5,0.3395,0.3464
6,0.3248,0.3224
7,0.3116,0.3220
8,0.2990,0.3106
9,0.2888,0.3066
10,0.2790,0.3052
