epoch,train_loss,val_loss
1,0.3727,0.5602
2,0.2787,0.4073
3,,
4,0.3698,0.3765
5,0.4339,0.4393
6,0.4191,0.3937
7,0.3861,0.3735
8,0.3621,0.3654
9,0.3582,0.3579
10,0.3486,0.3547
